시군구명,금연구역명,금연구역범위상세,금연구역구분,금연구역지정근거명,소재지도로명주소,소재지지번주소,관리기관명,위도,경도
은평구,"달콤, 꿈꾸다",업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 연서로18길 4, 1층 1호 (대조동)",서울특별시 은평구 대조동 224-6 1층 1호,서울특별시 은평구청,37.6122152563,126.9179072666
은평구,나이비인후과의원,의료기관시설전체,의료법에따른의료기관                                                                                          ,국민건강증진법제9조,서울특별시 은평구 통일로 738 (불광동),서울특별시 은평구 불광동 274번지 11호,서울특별시 은평구청,37.6114158599,126.929406673
은평구,서울본치과의원,의료기관시설전체,의료법에따른의료기관                                                                                          ,국민건강증진법제9조,서울특별시 은평구 은평로 147 (응암동),서울특별시 은평구 응암1동 86번지 31호,서울특별시 은평구청,37.60107731,126.9240941623
은평구,일맥한의원,의료기관시설전체,의료법에따른의료기관                                                                                          ,국민건강증진법제9조,"서울특별시 은평구 통일로 861, 5층 (갈현동, 범일빌딩)",서울특별시 은평구 갈현동 396번지 1호 5층,서울특별시 은평구청,37.6197850352,126.9201939234
은평구,튼튼소아과의원,의료기관시설전체,의료법에따른의료기관                                                                                          ,국민건강증진법제9조,"서울특별시 은평구 은평터널로 196, 2층 (신사동)",서울특별시 은평구 신사2동 40번지 3호,서울특별시 은평구청,37.5958276437,126.9091139341
은평구,연세팜스의원,의료기관시설전체,의료법에따른의료기관                                                                                          ,국민건강증진법제9조,서울특별시 은평구 불광로 17 (대조동),서울특별시 은평구 대조동 12번지 2호,서울특별시 은평구청,37.6100567151,126.9280591916
은평구,한양재활의학과의원,의료기관시설전체,의료법에따른의료기관                                                                                          ,국민건강증진법제9조,"서울특별시 은평구 서오릉로 196, 3층 (갈현동)",서울특별시 은평구 갈현동 498번지 4호,서울특별시 은평구청,37.6138570459,126.9120412195
은평구,연세열린의원,의료기관시설전체,의료법에따른의료기관                                                                                          ,국민건강증진법제9조,"서울특별시 은평구 증산로 297, 201호 (증산동, 청록빌딩)",서울특별시 은평구 증산동 169번지 35호,서울특별시 은평구청,37.5838222894,126.9092374453
은평구,OK부부치과의원,의료기관시설전체,의료법에따른의료기관                                                                                          ,국민건강증진법제9조,"서울특별시 은평구 통일로 901, 3층 (갈현동)",서울특별시 은평구 갈현동 392번지 8호,서울특별시 은평구청,37.6234739751,126.9195710377
은평구,김성우내과의원,의료기관시설전체,의료법에따른의료기관                                                                                          ,국민건강증진법제9조,서울특별시 은평구 연서로 219 (갈현동),서울특별시 은평구 갈현2동 456번지 36호,서울특별시 은평구청,37.6183299804,126.919722016
은평구,우리신경외과의원,의료기관시설전체,의료법에따른의료기관                                                                                          ,국민건강증진법제9조,"서울특별시 은평구 서오릉로 168, 2층 (갈현동)",서울특별시 은평구 갈현2동 469번지 5호,서울특별시 은평구청,37.6128340259,126.9149397345
